,Instrument,Date,Price Close,Country of Exchange,Earnings Quality Region,GICS Sub-Industry Name,Company Market Capitalization,Net Income after Minority Interest,Property Plant & Equipment - Net - Total,Revenue from Business Activities - Total,Cash & Short Term Investments,Loans & Receivables - Total,Intangible Assets,Total Assets,Dividends Paid - Cash - Total - Cash Flow,Common Stock Buyback - Net,Shareholders Equity - Common,Capital Expenditures - Total,Debt - Long-Term - Total,Short-Term Debt & Notes Payable
1758,0322.HK,2003-06-30,0.13506660353163,,,,754847536.398569,90927984.5425672,869093000.0,1100404812.9351,96980000.0,42916000.0,,1173688000.0,45267992.3046027,,587354000.0,162277972.413323,254424000.0,
1759,0322.HK,2004-06-30,0.178489424043492,,,,998225761.123577,35816003.6505168,988753000.0,1260691128.49492,94327000.0,62115000.0,,1290127000.0,51975005.2975104,,571487000.0,233407023.789822,269796000.0,
1760,0322.HK,2005-06-30,0.199051512753198,,,,1113221967.15183,286428991.949783,2205903000.0,1466888958.77242,142618000.0,71499000.0,,1402189000.0,63151998.2250838,,798443000.0,135302996.197248,13581000.0,
1761,0322.HK,2006-06-30,0.450496449698047,,,,2519460245.94584,123553488.036582,1092121000.0,1845974868.26338,154949000.0,84573000.0,,1548930000.0,63724630.0851355,,871982000.0,189480554.639916,32880000.0,
1762,0322.HK,2007-06-29,0.856505327431591,,,,4790118235.02698,148947755.129096,1349999000.0,2332089279.23742,194281000.0,94239000.0,,1840147000.0,129677811.210531,,913342000.0,340415006.070199,28320000.0,
1763,0322.HK,2008-06-30,0.910530597845602,,,,5088687517.86413,194923498.143023,1713278000.0,3216831482.84497,261301000.0,114391000.0,,2334421000.0,136983787.146369,0.0,1027661000.0,412278950.562506,106946000.0,
1764,0322.HK,2009-06-30,1.21460620833817,,,,6785754149.18499,260542697.749096,1974445000.0,4274328403.35446,380625000.0,129944000.0,,2961516000.0,150416072.751602,1987057.79377294,1207203000.0,507284048.465307,135852000.0,
1765,0322.HK,2010-06-30,1.81781837215573,,,,10155775356.5701,383205841.101239,2216638000.0,5081097633.643,514857000.0,115591000.0,,3407693000.0,130171606.332427,0.0,1462644000.0,497873494.321029,116983000.0,
1766,0322.HK,2011-06-30,2.27627430352095,,,,12721977525.0292,478549706.929779,2922936000.0,6682553149.19881,882087000.0,127730000.0,,4891412000.0,191657720.895083,,1821258000.0,965787806.525601,177259000.0,
1767,0322.HK,2012-06-29,1.88198517913084,,,,10524391264.853,419668072.553274,4029872000.0,7868887643.00882,590950000.0,257433000.0,,5808774000.0,238678995.397071,,2099745000.0,1327809395.58013,549382000.0,
1768,0322.HK,2013-06-28,1.91824074611279,,,,10730441935.6768,458643198.839363,5001736000.0,9212277798.52425,830865000.0,233104000.0,,7473263000.0,209716693.265927,,2542873000.0,838963777.547332,984761000.0,
1769,0322.HK,2014-06-30,2.06225308413868,,,,11548026090.5963,408602212.578962,5485100000.0,10942554959.6067,1239351000.0,344232000.0,,8424321000.0,180148665.349045,,2880292000.0,852162405.537691,659643000.0,
1770,0322.HK,2015-06-30,1.50523318711375,,,,8435160306.65553,400483205.789965,5859905000.0,10238012824.9958,1173252000.0,375068000.0,,9206057000.0,204324615.188271,,3033557000.0,970997923.51723,1246720000.0,
1771,0322.HK,2016-06-30,0.693924732439747,,,,3887971010.10444,256372306.204708,5396574000.0,9103957215.58582,1011652000.0,337590000.0,,8481506000.0,200092214.189971,2219279.65775251,2909059000.0,483879975.094231,1326367000.0,
1772,0322.HK,2017-06-30,0.873652400855664,,,,4896665951.2713,174987656.25686,4689152239.66585,8371886800.25024,1467587498.19963,350453694.368429,,8140721734.1207,128225075.80645,,2610332709.20351,231877748.292262,990953478.323491,
